label,future_return,time
3,0.0010716518,2025-06-06 02:25:00+00:00
3,0.0013158874,2025-06-06 02:30:00+00:00
2,0.00075614144,2025-06-06 02:35:00+00:00
2,0.0008515453,2025-06-06 02:40:00+00:00
2,-0.0009608863,2025-06-06 02:45:00+00:00
2,-0.0008893119,2025-06-06 02:50:00+00:00
2,-0.0007466038,2025-06-06 02:55:00+00:00
1,-0.001248625,2025-06-06 03:00:00+00:00
2,-0.00039552257,2025-06-06 03:05:00+00:00
2,-0.0005588934,2025-06-06 03:10:00+00:00
2,-0.00020216315,2025-06-06 03:15:00+00:00
2,0.00086229964,2025-06-06 03:20:00+00:00
3,0.0016533349,2025-06-06 03:25:00+00:00
2,5.3517753e-05,2025-06-06 03:30:00+00:00
2,0.00024689888,2025-06-06 03:35:00+00:00
2,7.1397546e-05,2025-06-06 03:40:00+00:00
3,0.0012298072,2025-06-06 03:45:00+00:00
3,0.0013545053,2025-06-06 03:50:00+00:00
3,0.0013216725,2025-06-06 03:55:00+00:00
3,0.0011668403,2025-06-06 04:00:00+00:00
2,0.00067830697,2025-06-06 04:05:00+00:00
2,0.0008001404,2025-06-06 04:10:00+00:00
2,0.00047874777,2025-06-06 04:15:00+00:00
2,-0.0007159834,2025-06-06 04:20:00+00:00
1,-0.0013774841,2025-06-06 04:25:00+00:00
2,0.00024676308,2025-06-06 04:30:00+00:00
2,0.00020222868,2025-06-06 04:35:00+00:00
2,0.0006603802,2025-06-06 04:40:00+00:00
2,0.0007762359,2025-06-06 04:45:00+00:00
2,0.0005618796,2025-06-06 04:50:00+00:00
2,3.864654e-05,2025-06-06 04:55:00+00:00
2,-0.00037759184,2025-06-06 05:00:00+00:00
2,-0.00041324893,2025-06-06 05:05:00+00:00
2,-0.0009510789,2025-06-06 05:10:00+00:00
2,-0.0005439063,2025-06-06 05:15:00+00:00
2,0.00015756974,2025-06-06 05:20:00+00:00
2,0.0008502239,2025-06-06 05:25:00+00:00
3,0.001147314,2025-06-06 05:30:00+00:00
3,0.0016412891,2025-06-06 05:35:00+00:00
3,0.0018609242,2025-06-06 05:40:00+00:00
3,0.0017414613,2025-06-06 05:45:00+00:00
3,0.0015391015,2025-06-06 05:50:00+00:00
3,0.0017152454,2025-06-06 05:55:00+00:00
3,0.00231697,2025-06-06 06:00:00+00:00
3,0.0027214324,2025-06-06 06:05:00+00:00
3,0.002731005,2025-06-06 06:10:00+00:00
3,0.0027656183,2025-06-06 06:15:00+00:00
3,0.0022145465,2025-06-06 06:20:00+00:00
3,0.0016158352,2025-06-06 06:25:00+00:00
3,0.0012855378,2025-06-06 06:30:00+00:00
3,0.0011903596,2025-06-06 06:35:00+00:00
2,0.00056970253,2025-06-06 06:40:00+00:00
2,0.00086328376,2025-06-06 06:45:00+00:00
2,0.0004924676,2025-06-06 06:50:00+00:00
3,0.0011840747,2025-06-06 06:55:00+00:00
3,0.0014540318,2025-06-06 07:00:00+00:00
2,0.0009491747,2025-06-06 07:05:00+00:00
3,0.0010027947,2025-06-06 07:10:00+00:00
2,0.00019869396,2025-06-06 07:15:00+00:00
2,-0.00076225615,2025-06-06 07:20:00+00:00
2,-0.00080661423,2025-06-06 07:25:00+00:00
1,-0.0013995261,2025-06-06 07:30:00+00:00
1,-0.0012927175,2025-06-06 07:35:00+00:00
1,-0.0017437205,2025-06-06 07:40:00+00:00
1,-0.0027091436,2025-06-06 07:45:00+00:00
1,-0.0029148036,2025-06-06 07:50:00+00:00
1,-0.0022764257,2025-06-06 07:55:00+00:00
1,-0.0030194025,2025-06-06 08:00:00+00:00
1,-0.0034404588,2025-06-06 08:05:00+00:00
1,-0.003283975,2025-06-06 08:10:00+00:00
1,-0.002253394,2025-06-06 08:15:00+00:00
1,-0.001436628,2025-06-06 08:20:00+00:00
1,-0.0013592924,2025-06-06 08:25:00+00:00
1,-0.0013510103,2025-06-06 08:30:00+00:00
1,-0.0015526752,2025-06-06 08:35:00+00:00
1,-0.0023230806,2025-06-06 08:40:00+00:00
1,-0.0013968888,2025-06-06 08:45:00+00:00
2,-0.0005442201,2025-06-06 08:50:00+00:00
1,-0.0015656427,2025-06-06 08:55:00+00:00
1,-0.0021309794,2025-06-06 09:00:00+00:00
1,-0.0015343718,2025-06-06 09:05:00+00:00
2,-0.00045199352,2025-06-06 09:10:00+00:00
1,-0.0011797604,2025-06-06 09:15:00+00:00
1,-0.001298987,2025-06-06 09:20:00+00:00
1,-0.0012868445,2025-06-06 09:25:00+00:00
1,-0.0011268695,2025-06-06 09:30:00+00:00
2,-0.0009514889,2025-06-06 09:35:00+00:00
2,0.00017270129,2025-06-06 09:40:00+00:00
1,-0.001184552,2025-06-06 09:45:00+00:00
